Data,Name,C,INF,IF,F,WPM, Correct Gaze, Total Gaze
2020/03/07 06:33:03,,26,1,0,0,6
2020/03/07 06:33:33,,23,3,0,0,6
2020/03/08 20:48:06,,0,18,10,10,0
2020/03/08 21:00:03,,134,5,12,12,27.09678
2020/03/08 21:02:33,,0,1,0,0,0
2020/03/08 21:04:20,,61,10,23,23,10.15385
2020/03/08 21:09:34,,136,5,0,0,26.25
2020/03/08 21:09:35,,140,5,0,0,24.23077
2020/03/08 21:09:53,,146,6,0,0,17.51622
2020/03/08 21:09:58,,149,7,0,0,11.94288
2020/03/08 21:10:02,,149,11,0,0,11.0497
2020/03/08 21:17:35,,127,17,0,0,27.54098
2020/03/08 21:21:04,,0,1,0,0,0
2020/03/08 21:22:56,,0,5,0,0,0
2020/03/11 10:28:57,ziyu-REGULAR-WORDCLOUD-1,140,2,0,0,33
2020/03/11 10:51:40,ziyu-REGULAR-WORDCLOUD-1,405,17,2,2,77.72308
2020/03/11 11:40:05,ziyu-REGULAR-WORDCLOUD-1,208,13,9,9,42.75,0,0
2020/03/11 11:41:51,ziyu-REGULAR-WORDCLOUD-1,323,18,5,5,67.2381,0,0
2020/03/11 11:58:09,ziyu-TEST-WORDCLOUD-1,489,10,82,82,4.05298,79,89
2020/03/11 12:14:37,ziyu-TEST-WORDCLOUD-2,673,6,47,47,27.20792,113,119
2020/03/11 12:23:55,ziyu-TEST-ROW-1,787,10,73,73,32.4917,140,149
2020/03/11 12:36:37,ziyu-TEST-ROW-2,830,2,59,59,33.46535,162,164
2020/03/11 13:24:02,sherry-REGULAR-ROW-2,238,10,15,15,49.54839,0,0
2020/03/11 13:49:55,sherry-TEST-ROW-1,283,2,41,41,12.91391,60,62
2020/03/11 14:04:13,sherry-TEST-ROW-2,497,7,24,24,22.04651,107,114
2020/03/11 14:27:45,sherry-TEST-WORDCLOUD-1,322,11,33,33,15.49669,60,67
2020/03/11 14:37:07,sherry-TEST-WORDCLOUD-2,293,15,57,57,14.44737,54,63
2020/03/11 15:33:12,xiangyu-REGULAR-WORDCLOUD-2,238,10,8,8,45.85075,0,0
2020/03/11 15:57:11,xiangyu-TEST-WORDCLOUD-1,233,15,52,52,11.12871,43,49
2020/03/11 16:04:19,xiangyu-TEST-WORDCLOUD-2,264,9,46,46,13.18033,50,59
2020/03/11 16:17:43,xiangyu-TEST-ROW-1,508,8,43,43,21.9802,94,101
2020/03/11 16:24:42,xiangyu-TEST-ROW-2,478,4,32,32,19.61842,97,101
2020/03/11 16:32:01,xiangyu-TEST-WORDCLOUD-2,345,18,56,56,15.30492,61,64
2020/03/11 17:16:54,Shariina-REGULAR-WORDCLOUD-2,215,11,3,3,45.09678,0,0
2020/03/11 17:44:35,Shariina-TEST-ROW-1,247,11,29,29,11.45455,46,57
2020/03/11 17:54:05,Shariina-TEST-ROW-2,328,11,65,65,14.62745,67,75
2020/03/11 18:07:11,Shariina-TEST-WORDCLOUD-1,276,16,57,57,12.39604,46,55
2020/03/11 18:17:21,Shariina-TEST-WORDCLOUD-2,460,8,15,15,20.5377,81,89
2020/03/12 14:29:13,aparna-REGULAR-WORDCLOUD-2,235,14,2,2,49.74194,0,0
2020/03/12 14:41:02,aparna-TRAINING-WORDCLOUD-2,0,1,0,0,-0.004874086,0,1
2020/03/12 14:51:13,aparna-TRAINING-WORDCLOUD-2,128,19,0,0,-0.0198985,25,31
2020/03/12 14:51:17,aparna-TRAINING-WORDCLOUD-2,131,19,0,0,-0.02006358,26,32
2020/03/12 14:51:26,aparna-TRAINING-WORDCLOUD-2,137,20,0,0,-0.01974317,26,32
2020/03/12 14:51:35,aparna-TRAINING-WORDCLOUD-2,142,20,0,0,-0.01948554,27,33
2020/03/12 14:51:38,aparna-TRAINING-WORDCLOUD-2,144,20,0,0,-0.019388,28,34
2020/03/12 14:51:54,aparna-TRAINING-WORDCLOUD-2,145,23,0,0,-0.01890673,28,34
2020/03/12 14:52:08,aparna-TRAINING-WORDCLOUD-2,153,23,0,0,-0.01849755,29,35
2020/03/12 14:52:13,aparna-TRAINING-WORDCLOUD-2,156,24,0,0,-0.01832379,29,36
2020/03/12 14:52:23,aparna-TRAINING-WORDCLOUD-2,157,28,0,0,-0.01807675,29,36
2020/03/12 14:52:45,aparna-TRAINING-WORDCLOUD-2,161,28,0,0,-0.01750275,30,37
2020/03/12 14:52:52,aparna-TRAINING-WORDCLOUD-2,166,28,0,0,-0.01731919,31,38
2020/03/12 14:52:56,aparna-TRAINING-WORDCLOUD-2,169,28,0,0,-0.01721838,32,39
2020/03/12 14:53:02,aparna-TRAINING-WORDCLOUD-2,171,29,0,0,-0.0170722,32,40
2020/03/12 14:53:08,aparna-TRAINING-WORDCLOUD-2,176,29,0,0,-0.01692769,33,41
2020/03/12 14:53:12,aparna-TRAINING-WORDCLOUD-2,180,29,0,0,-0.01683191,34,42
2020/03/12 14:53:22,aparna-TRAINING-WORDCLOUD-2,183,29,0,0,-0.01660134,35,43
2020/03/12 14:53:36,aparna-TRAINING-WORDCLOUD-2,190,29,0,0,-0.01626562,36,44
2020/03/12 14:53:45,aparna-TRAINING-WORDCLOUD-2,198,29,0,0,-0.01606744,37,45
2020/03/12 14:53:53,aparna-TRAINING-WORDCLOUD-2,203,29,0,0,-0.01591751,38,46
2020/03/12 14:54:02,aparna-TRAINING-WORDCLOUD-2,207,29,0,0,-0.01573034,39,47
2020/03/12 14:54:05,aparna-TRAINING-WORDCLOUD-2,211,29,0,0,-0.01566679,40,48
2020/03/12 14:54:17,aparna-TRAINING-WORDCLOUD-2,216,29,0,0,-0.01542785,41,49
2020/03/12 14:54:22,aparna-TRAINING-WORDCLOUD-2,219,29,0,0,-0.01532721,42,50
2020/03/12 14:54:25,aparna-TRAINING-WORDCLOUD-2,222,29,0,0,-0.01526808,43,51
2020/03/12 14:54:35,aparna-TRAINING-WORDCLOUD-2,229,29,0,0,-0.01507824,44,52
2020/03/12 14:55:04,aparna-TRAINING-WORDCLOUD-2,236,29,0,0,-0.01455309,45,53
2020/03/12 14:55:19,aparna-TRAINING-WORDCLOUD-2,241,29,0,0,-0.01427273,46,54
2020/03/12 15:13:43,pasan-REGULAR-WORDCLOUD-1,189,8,10,10,35.82353,0,0
2020/03/12 16:05:51,pasan-TEST-WORDCLOUD-1,185,0,15,15,9.108911,40,40
2020/03/12 16:17:18,pasan-TEST-WORDCLOUD-2,247,4,13,13,12.15287,53,55
2020/03/12 16:25:51,pasan-TEST-ROW-1,244,5,25,25,10.85526,52,54
2020/03/12 16:39:37,pasan-TEST-ROW-2,250,6,41,41,11.72093,58,60
2020/03/12 16:46:51,pasan-TEST-ROW-2,259,1,40,40,12.31683,62,63
2020/03/12 17:30:56,aparna-TEST-WORDCLOUD-1,235,2,7,7,10.61842,47,49
2020/03/12 17:39:36,aparna-TEST-WORDCLOUD-2,191,15,11,11,9.058824,38,38
2020/03/12 17:51:17,aparna-TEST-WORDCLOUD-2,280,2,4,4,12.9079,55,57
2020/03/12 18:05:49,aparna-TEST-ROW-1,274,12,10,10,12.50814,55,58
2020/03/12 18:12:25,aparna-TEST-ROW-2,269,5,11,11,11.48515,54,59
2020/03/13 15:30:42,seb-REGULAR-ROW-1,237,11,7,7,49.54839,0,0
2020/03/13 15:57:44,seb-TRAINING-ROW-1,181,12,0,0,-0.01932367,36,38
2020/03/13 16:20:43,seb-TEST-LEXIC-1,185,4,8,8,8.431373,39,43
2020/03/13 16:34:42,seb-TEST-LEXIC-2,210,6,20,20,9.727574,45,51
2020/03/13 16:50:08,seb-TEST-WORDCLOUD-1,256,5,8,8,12.55629,53,55
2020/03/13 17:00:05,seb-TEST-WORDCLOUD-2,236,3,32,32,10.6623,45,48
2020/03/15 14:50:10,ziyu-TEST-LEXIC-1,775,11,42,42,31.35099,135,144
2020/03/15 15:03:25,ziyu-TEST-LEXIC-2,176,14,79,79,7.694352,32,38
2020/03/15 15:12:22,ziyu-TEST-LEXIC-1,250,10,93,93,11.13158,50,55
2020/03/15 15:21:16,ziyu-TEST-LEXIC-2,783,7,0,0,31.81395,150,155
2020/03/15 15:41:36,ziyu-REGULAR-LEXIC-2,304,18,10,10,62.4375,0,0
2020/03/16 20:37:52,yiyi-REGULAR-ROW-1,188,9,2,2,38.0625,0,0
2020/03/16 21:18:40,yiyi-TRAINING-WORDCLOUD-1,283,20,0,0,-0.01963994,54,65
2020/03/16 21:18:50,yiyi-TRAINING-WORDCLOUD-1,291,21,0,0,-0.01967151,54,66
2020/03/16 21:19:00,yiyi-TRAINING-WORDCLOUD-1,300,21,0,0,-0.01939153,55,67
2020/03/16 21:19:06,yiyi-TRAINING-WORDCLOUD-1,304,21,0,0,-0.01917351,56,68
2020/03/16 21:19:10,yiyi-TRAINING-WORDCLOUD-1,307,23,0,0,-0.01904997,56,68
2020/03/16 21:19:26,yiyi-TRAINING-WORDCLOUD-1,313,23,0,0,-0.0185845,57,69
2020/03/16 21:19:33,yiyi-TRAINING-WORDCLOUD-1,315,24,0,0,-0.01840815,57,70
2020/03/16 21:19:35,yiyi-TRAINING-WORDCLOUD-1,317,25,0,0,-0.01832219,57,71
2020/03/16 21:19:38,yiyi-TRAINING-WORDCLOUD-1,320,25,0,0,-0.01826587,58,72
2020/03/16 21:19:49,yiyi-TRAINING-WORDCLOUD-1,325,25,0,0,-0.01794301,59,73
2020/03/16 21:19:52,yiyi-TRAINING-WORDCLOUD-1,327,26,0,0,-0.01785865,59,74
2020/03/16 21:19:58,yiyi-TRAINING-WORDCLOUD-1,330,26,0,0,-0.01772758,60,75
2020/03/16 21:31:47,yiyi-TRAINING-WORDCLOUD-1,375,23,0,0,-0.01996672,71,87
2020/03/16 21:31:58,yiyi-TRAINING-WORDCLOUD-1,379,25,0,0,-0.01999935,71,87
2020/03/16 21:32:11,yiyi-TRAINING-WORDCLOUD-1,384,25,0,0,-0.01961537,72,88
2020/03/16 21:32:16,yiyi-TRAINING-WORDCLOUD-1,390,25,0,0,-0.01942125,73,89
2020/03/16 21:32:19,yiyi-TRAINING-WORDCLOUD-1,393,25,0,0,-0.01932552,74,90
2020/03/16 21:32:31,yiyi-TRAINING-WORDCLOUD-1,397,25,0,0,-0.0189642,75,91
2020/03/16 21:32:51,yiyi-TRAINING-WORDCLOUD-1,404,25,0,0,-0.01841502,76,92
2020/03/16 21:33:00,yiyi-TRAINING-WORDCLOUD-1,405,26,0,0,-0.01815896,76,93
2020/03/16 21:33:01,yiyi-TRAINING-WORDCLOUD-1,407,26,0,0,-0.0181006,77,94
2020/03/16 21:33:08,yiyi-TRAINING-WORDCLOUD-1,413,26,0,0,-0.01791379,78,95
2020/03/16 21:33:13,yiyi-TRAINING-WORDCLOUD-1,418,27,0,0,-0.01778015,78,96
2020/03/16 21:33:16,yiyi-TRAINING-WORDCLOUD-1,424,27,0,0,-0.01772621,79,97
2020/03/16 21:33:21,yiyi-TRAINING-WORDCLOUD-1,428,27,0,0,-0.01759757,80,98
2020/03/16 21:33:25,yiyi-TRAINING-WORDCLOUD-1,432,27,0,0,-0.01746949,81,99
2020/03/16 21:33:32,yiyi-TRAINING-WORDCLOUD-1,436,27,0,0,-0.01731863,82,100
2020/03/16 21:33:37,yiyi-TRAINING-WORDCLOUD-1,443,27,0,0,-0.01716993,83,101
2020/03/16 21:33:52,yiyi-TRAINING-WORDCLOUD-1,449,27,0,0,-0.01681273,84,102
2020/03/16 21:33:58,yiyi-TRAINING-WORDCLOUD-1,452,27,0,0,-0.01669186,85,103
2020/03/16 21:34:00,yiyi-TRAINING-WORDCLOUD-1,454,28,0,0,-0.01662167,85,104
2020/03/16 21:34:03,yiyi-TRAINING-WORDCLOUD-1,456,28,0,0,-0.01657535,86,105
2020/03/16 21:34:10,yiyi-TRAINING-WORDCLOUD-1,462,28,0,0,-0.01639638,87,106
2020/03/16 21:34:13,yiyi-TRAINING-WORDCLOUD-1,466,28,0,0,-0.01634954,88,107
2020/03/16 21:34:15,yiyi-TRAINING-WORDCLOUD-1,469,28,0,0,-0.0162833,89,108
2020/03/16 21:34:21,yiyi-TRAINING-WORDCLOUD-1,473,28,0,0,-0.01617427,90,109
2020/03/16 21:34:31,yiyi-TRAINING-WORDCLOUD-1,480,28,0,0,-0.01593999,91,110
2020/03/16 21:34:43,yiyi-TRAINING-WORDCLOUD-1,486,28,0,0,-0.01571041,92,111
2020/03/16 21:34:48,yiyi-TRAINING-WORDCLOUD-1,492,28,0,0,-0.01560631,93,112
2020/03/16 21:34:55,yiyi-TRAINING-WORDCLOUD-1,494,28,0,0,-0.01546609,94,113
2020/03/16 21:35:00,yiyi-TRAINING-WORDCLOUD-1,497,28,0,0,-0.01536645,95,114
2020/03/16 21:35:06,yiyi-TRAINING-WORDCLOUD-1,500,28,0,0,-0.01524956,96,115
2020/03/16 21:35:11,yiyi-TRAINING-WORDCLOUD-1,506,28,0,0,-0.01513415,97,116
2020/03/16 21:35:14,yiyi-TRAINING-WORDCLOUD-1,508,29,0,0,-0.01507625,97,117
2020/03/16 21:35:19,yiyi-TRAINING-WORDCLOUD-1,508,33,0,0,-0.01498268,97,117
2020/03/16 21:35:22,yiyi-TRAINING-WORDCLOUD-1,511,33,0,0,-0.01492622,98,118
2020/03/16 21:35:26,yiyi-TRAINING-WORDCLOUD-1,515,33,0,0,-0.01487071,99,119
2020/03/16 21:35:29,yiyi-TRAINING-WORDCLOUD-1,519,33,0,0,-0.01479763,100,120
2020/03/16 21:35:35,yiyi-TRAINING-WORDCLOUD-1,523,33,0,0,-0.01468947,101,121
2020/03/16 21:35:41,yiyi-TRAINING-WORDCLOUD-1,526,33,0,0,-0.01459985,102,122
2020/03/16 21:35:47,yiyi-TRAINING-WORDCLOUD-1,531,33,0,0,-0.01449428,103,123
