Layout, Timestamp, Words,  word len 0, word len 1, word len 2, word len 3, word len 4, word count,  target index, target word, target word len,correct, history, gaze duration, tap duration
CIRCLE,Tuesday- July 7- 2020-11:54:59 PM,quality	bring				,7,5,0,0,0,2,1,bring,5,T,1,33.909,708.620
CIRCLE,Tuesday- July 7- 2020-11:55:03 PM,give	should	certainly	push	six	,4,6,9,4,3,5,3,push,4,T,4,759.961,226.395
CIRCLE,Tuesday- July 7- 2020-11:55:07 PM,option	when	move	learn	score	,6,4,4,5,5,5,2,move,4,T,2,729.229,516.026
CIRCLE,Tuesday- July 7- 2020-11:55:11 PM,down	gas	one	property	none	,4,3,3,8,4,5,4,none,4,T,8,749.852,339.130
CIRCLE,Tuesday- July 7- 2020-11:55:15 PM,whether	campaign	strong	dinner	rock	,7,8,6,6,4,5,4,rock,4,T,4,847.239,227.885
CIRCLE,Tuesday- July 7- 2020-11:55:20 PM,leave	cut	legal	patient	model	,5,3,5,7,5,5,3,patient,7,T,4,682.176,326.740
CIRCLE,Wednesday- July 8- 2020-12:09:12 AM,violence	practice	consider	or		,8,8,8,2,0,4,1,practice,8,T,1,411.717,424.863
CIRCLE,Wednesday- July 8- 2020-12:09:16 AM,foreign	full	together	yard		,7,4,8,4,0,4,3,yard,4,T,2,557.945,380.759
CIRCLE,Wednesday- July 8- 2020-12:09:20 AM,Mr	rock	become			,2,4,6,0,0,3,1,rock,4,T,3,578.454,371.505
CIRCLE,Wednesday- July 8- 2020-12:09:24 AM,each	challenge	policy	carry		,4,9,6,5,0,4,2,policy,6,T,4,419.878,431.561
CIRCLE,Wednesday- July 8- 2020-12:09:28 AM,know	Republican				,4,10,0,0,0,2,1,Republican,10,T,2,290.866,383.638
CIRCLE,Wednesday- July 8- 2020-12:09:31 AM,style	suffer	mission	third	team	,5,6,7,5,4,5,1,suffer,6,T,4,1085.667,381.345
CIRCLE,Wednesday- July 8- 2020-12:09:36 AM,gun	ever	south			,3,4,5,0,0,3,2,south,5,T,1,11.945,649.747
CIRCLE,Wednesday- July 8- 2020-12:09:39 AM,camera	center	health			,6,6,6,0,0,3,1,center,6,T,2,301.099,417.881
CIRCLE,Wednesday- July 8- 2020-12:09:43 AM,service	new	little			,7,3,6,0,0,3,1,new,3,T,4,413.894,371.450
CIRCLE,Wednesday- July 8- 2020-12:09:47 AM,toward	seek	manage	lay	budget	,6,4,6,3,6,5,2,manage,6,T,4,268.311,392.948
CIRCLE,Wednesday- July 8- 2020-12:09:51 AM,open	team	down	available	speech	,4,4,4,9,6,5,3,available,9,T,2,392.618,436.997
CIRCLE,Wednesday- July 8- 2020-12:09:54 AM,event	as	clearly	we	management	,5,2,7,2,10,5,4,management,10,T,3,302.894,427.139
CIRCLE,Wednesday- July 8- 2020-12:09:58 AM,dream	pressure	citizen	issue		,5,8,7,5,0,4,1,pressure,8,T,3,592.381,372.027
CIRCLE,Wednesday- July 8- 2020-12:10:02 AM,finish	across	approach	cause	day	,6,6,8,5,3,5,4,day,3,T,6,513.985,438.037
CIRCLE,Wednesday- July 8- 2020-12:10:06 AM,claim					,5,0,0,0,0,1,0,claim,5,T,1,347.094,303.908
CIRCLE,Wednesday- July 8- 2020-12:10:10 AM,share	country	disease	blood	analysis	,5,7,7,5,8,5,2,disease,7,T,0,22.939,627.289
CIRCLE,Wednesday- July 8- 2020-12:10:13 AM,nature	information				,6,11,0,0,0,2,1,information,11,T,1,268.363,393.983
CIRCLE,Wednesday- July 8- 2020-12:10:17 AM,recognize	pass	traditional	head	develop	,9,4,11,4,7,5,4,develop,7,T,2,470.040,449.274
CIRCLE,Wednesday- July 8- 2020-12:10:21 AM,two	sex	dinner	one		,3,3,6,3,0,4,1,sex,3,T,3,279.253,405.263
CIRCLE,Wednesday- July 8- 2020-12:10:25 AM,result					,6,0,0,0,0,1,0,result,6,T,0,12.965,547.813
CIRCLE,Wednesday- July 8- 2020-12:10:28 AM,security	light	center	season	generation	,8,5,6,6,10,5,1,light,5,T,3,246.619,404.585
CIRCLE,Wednesday- July 8- 2020-12:10:32 AM,than	itself	probably	join	stock	,4,6,8,4,5,5,3,join,4,T,3,447.989,394.448
