Data,Name,C,INF,IF,F,WPM, Correct Gaze, Total Gaze, Method, Gaze, Completion
2020/09/05 16:42:20,zhenyi-TEST-NC-MS-ONE-1,1,6,0,0,22.18129,0,0,TapGazer,MS,NC
2020/09/05 16:43:47,zhenyi-TEST-NC-MS-ONE-1,12,0,0,0,9.474088,1,1,TapGazer,MS,NC
2020/09/05 16:44:10,zhenyi-TEST-NC-MS-ONE-1,17,1,0,0,5.620536,1,2,TapGazer,MS,NC
2020/09/05 16:45:04,zhenyi-TEST-NC-MS-ONE-1,17,6,0,0,3.212856,1,2,TapGazer,MS,NC
2020/09/07 22:14:04,zhenyi-TEST-NC-GS-ONE-1,36,4,0,0,59.71812,4,4,TapGazer,GS,NC
2020/09/07 22:14:06,zhenyi-TEST-NC-GS-ONE-1,36,4,0,0,59.71812,4,4,TapGazer,GS,NC
2020/09/11 21:57:42,zhenyi-TEST-WC-GS-DIVISION-1,10,10,0,0,6.750315,1,3,TapGazer,GS,WC
2020/10/23 00:30:58,classic-TEST-NC-GS-ONE-1,205,3,0,0,43.27108,38,39,TapGazer,GS,NC
2020/10/23 00:32:58,classic-TEST-NC-GS-ONE-1,94,0,0,0,17.23662,19,19,TapGazer,GS,NC
2020/10/23 00:35:19,classic-TEST-NC-GS-ONE-1,88,0,0,0,17.78996,18,18,TapGazer,GS,NC
2020/10/23 00:41:11,classic-TEST-NC-GS-ONE-1,143,5,0,0,29.1891,28,29,TapGazer,GS,NC
2020/10/23 00:42:47,classic-TEST-NC-GS-ONE-1,164,2,0,0,32.42666,31,33,TapGazer,GS,NC
2020/10/23 00:47:42,classic-TEST-NC-GS-ONE-1,90,1,0,0,17.85814,17,18,TapGazer,GS,NC
2020/10/23 00:48:58,classic-TEST-NC-GS-ONE-1,93,7,0,0,20.80615,16,19,TapGazer,GS,NC
2020/11/21 14:54:27,zhenyi-TEST-NC-GS-ONE-1,281,4,0,0,59.61,53,55,TapGazer,GS,NC
2020/11/21 14:57:51,zhenyi-TEST-NC-GS-ONE-1,291,2,0,0,62.06581,56,56,TapGazer,GS,NC
2020/11/21 15:01:26,zhenyi-TEST-NC-GS-ONE-1,270,9,0,0,58.88506,50,53,TapGazer,GS,NC
2020/11/21 15:03:23,zhenyi-TEST-NC-GS-ONE-1,306,5,0,0,66.04446,59,59,TapGazer,GS,NC
2020/11/21 15:08:14,zhenyi-TEST-NC-GS-ONE-1,282,4,0,0,60.30508,54,56,TapGazer,GS,NC
2020/11/21 15:10:13,zhenyi-TEST-WC-GS-ONE-1,249,3,0,0,54.31784,48,49,TapGazer,GS,WC
2020/11/21 15:11:34,zhenyi-TEST-WC-GS-ONE-1,260,6,0,0,57.58127,51,52,TapGazer,GS,WC
2020/11/21 15:12:56,zhenyi-TEST-WC-GS-ONE-1,249,5,0,0,55.64898,48,51,TapGazer,GS,WC
2020/11/21 15:14:19,zhenyi-TEST-WC-GS-ONE-1,271,7,0,0,59.15,53,54,TapGazer,GS,WC
2020/11/21 15:16:16,zhenyi-TEST-WC-GS-ONE-1,267,11,0,0,60.44,53,54,TapGazer,GS,WC
