participant, method, gaze, completion, cur_finger, prev_finger, type, duration_ms, cand_total, cand_index, time_since_1970_ms
zhenyi10,TapGazer,GS,WC,t,,tap,0.0000,0,0,1605975951273.6700
zhenyi10,TapGazer,GS,WC,h,t,tap,84.3889,0,0,1605975951359.0900
zhenyi10,TapGazer,GS,WC,a,h,tap,88.7614,0,0,1605975951447.8500
zhenyi10,TapGazer,GS,WC,n,a,tap,133.6671,0,0,1605975951581.5200
zhenyi10,TapGazer,GS,WC,k,n,tap,120.6524,0,0,1605975951702.1700
zhenyi10,TapGazer,GS,WC,space,k,selection,653.9695,2,0,1605975952356.1400
zhenyi10,TapGazer,GS,WC,y,space,tap,207.9098,0,0,1605975952564.0500
zhenyi10,TapGazer,GS,WC,o,y,tap,100.7319,0,0,1605975952664.7800
zhenyi10,TapGazer,GS,WC,u,o,tap,112.6971,0,0,1605975952777.4800
zhenyi10,TapGazer,GS,WC,space,u,selection,437.9500,10,0,1605975953215.4300
zhenyi10,TapGazer,GS,WC,f,space,tap,312.7875,0,0,1605975953528.2200
zhenyi10,TapGazer,GS,WC,o,f,tap,85.7673,0,0,1605975953613.9800
zhenyi10,TapGazer,GS,WC,r,o,tap,99.0708,0,0,1605975953713.0600
zhenyi10,TapGazer,GS,WC,space,r,selection,368.6092,10,0,1605975954081.6600
zhenyi10,TapGazer,GS,WC,y,space,tap,280.6154,0,0,1605975954362.2800
zhenyi10,TapGazer,GS,WC,o,y,tap,88.0865,0,0,1605975954450.3700
zhenyi10,TapGazer,GS,WC,u,o,tap,77.7916,0,0,1605975954528.1600
zhenyi10,TapGazer,GS,WC,r,u,tap,111.7030,0,0,1605975954639.8600
zhenyi10,TapGazer,GS,WC,space,r,selection,383.9776,10,0,1605975955023.8400
zhenyi10,TapGazer,GS,WC,h,space,tap,202.4250,0,0,1605975955226.2600
zhenyi10,TapGazer,GS,WC,e,h,tap,122.8654,0,0,1605975955349.1300
zhenyi10,TapGazer,GS,WC,l,e,tap,88.9903,0,0,1605975955438.1200
zhenyi10,TapGazer,GS,WC,p,l,tap,167.3470,0,0,1605975955605.4700
zhenyi10,TapGazer,GS,WC,space,p,selection,334.2901,5,0,1605975955939.7600
zhenyi10,TapGazer,GS,WC,n,,tap,0.0000,0,0,1605975956566.9800
zhenyi10,TapGazer,GS,WC,o,n,tap,89.5164,0,0,1605975956656.5000
zhenyi10,TapGazer,GS,WC,space,o,selection,410.0926,10,0,1605975957066.5900
zhenyi10,TapGazer,GS,WC,e,space,tap,120.6778,0,0,1605975957187.2700
zhenyi10,TapGazer,GS,WC,x,e,tap,166.5732,0,0,1605975957353.8400
zhenyi10,TapGazer,GS,WC,a,x,tap,167.5801,0,0,1605975957521.4200
zhenyi10,TapGazer,GS,WC,caps,a,deletion,1034.1957,0,0,1605975958555.6200
zhenyi10,TapGazer,GS,WC,e,caps,tap,401.6289,0,0,1605975958957.2500
zhenyi10,TapGazer,GS,WC,x,e,tap,178.1052,0,0,1605975959135.3500
zhenyi10,TapGazer,GS,WC,c,x,tap,245.3047,0,0,1605975959380.6600
zhenyi10,TapGazer,GS,WC,h,c,tap,154.8273,0,0,1605975959536.4800
zhenyi10,TapGazer,GS,WC,a,h,tap,44.9154,0,0,1605975959581.4000
zhenyi10,TapGazer,GS,WC,n,a,tap,135.3435,0,0,1605975959716.7400
zhenyi10,TapGazer,GS,WC,g,n,tap,33.1061,0,0,1605975959749.8500
zhenyi10,TapGazer,GS,WC,e,g,tap,87.8007,0,0,1605975959837.6500
zhenyi10,TapGazer,GS,WC,space,e,selection,365.0225,2,0,1605975960202.6700
zhenyi10,TapGazer,GS,WC,w,space,tap,574.1670,0,0,1605975960776.8400
zhenyi10,TapGazer,GS,WC,i,w,tap,122.7958,0,0,1605975960899.6300
zhenyi10,TapGazer,GS,WC,t,i,tap,90.4613,0,0,1605975960990.1000
zhenyi10,TapGazer,GS,WC,h,t,tap,89.7607,0,0,1605975961079.8600
zhenyi10,TapGazer,GS,WC,o,h,tap,108.7106,0,0,1605975961188.5700
zhenyi10,TapGazer,GS,WC,u,o,tap,77.7915,0,0,1605975961266.3600
zhenyi10,TapGazer,GS,WC,t,u,tap,235.4840,0,0,1605975961501.8400
zhenyi10,TapGazer,GS,WC,space,t,selection,404.8634,1,0,1605975961906.7100
zhenyi10,TapGazer,GS,WC,a,space,tap,322.3684,0,0,1605975962229.0700
zhenyi10,TapGazer,GS,WC,space,a,selection,346.0016,10,0,1605975962575.0800
zhenyi10,TapGazer,GS,WC,b,space,tap,269.4074,0,0,1605975962844.4800
zhenyi10,TapGazer,GS,WC,i,b,tap,124.6954,0,0,1605975962969.1800
zhenyi10,TapGazer,GS,WC,l,i,tap,37.8983,0,0,1605975963007.0800
zhenyi10,TapGazer,GS,WC,l,l,tap,134.6401,0,0,1605975963141.7200
zhenyi10,TapGazer,GS,WC,space,l,selection,313.8971,10,0,1605975963455.6100
zhenyi10,TapGazer,GS,WC,t,,tap,0.0000,0,0,1605975964083.1100
zhenyi10,TapGazer,GS,WC,h,t,tap,67.8702,0,0,1605975964150.9800
zhenyi10,TapGazer,GS,WC,e,h,tap,100.6140,0,0,1605975964251.5900
zhenyi10,TapGazer,GS,WC,space,e,selection,244.9378,10,0,1605975964496.5300
zhenyi10,TapGazer,GS,WC,e,space,tap,592.7699,0,0,1605975965089.3000
zhenyi10,TapGazer,GS,WC,a,e,tap,244.8514,0,0,1605975965334.1500
zhenyi10,TapGazer,GS,WC,r,a,tap,145.1583,0,0,1605975965479.3100
zhenyi10,TapGazer,GS,WC,l,r,tap,212.7728,0,0,1605975965692.0800
zhenyi10,TapGazer,GS,WC,y,l,tap,166.6910,0,0,1605975965858.7700
zhenyi10,TapGazer,GS,WC,space,y,selection,264.2288,1,0,1605975966123.0000
zhenyi10,TapGazer,GS,WC,b,space,tap,401.4663,0,0,1605975966524.4700
zhenyi10,TapGazer,GS,WC,i,b,tap,127.2351,0,0,1605975966651.7000
zhenyi10,TapGazer,GS,WC,r,i,tap,112.6777,0,0,1605975966764.3800
zhenyi10,TapGazer,GS,WC,d,r,tap,191.3928,0,0,1605975966955.7700
zhenyi10,TapGazer,GS,WC,space,d,selection,243.3553,10,3,1605975967199.1300
zhenyi10,TapGazer,GS,WC,g,space,tap,437.0619,0,0,1605975967636.1900
zhenyi10,TapGazer,GS,WC,e,g,tap,86.8129,0,0,1605975967723.0000
zhenyi10,TapGazer,GS,WC,t,e,tap,100.9837,0,0,1605975967823.9900
zhenyi10,TapGazer,GS,WC,s,t,tap,145.9976,0,0,1605975967969.9900
zhenyi10,TapGazer,GS,WC,space,s,selection,189.7501,6,0,1605975968159.7400
zhenyi10,TapGazer,GS,WC,t,space,tap,112.6654,0,0,1605975968272.4000
zhenyi10,TapGazer,GS,WC,h,t,tap,101.7758,0,0,1605975968374.1800
zhenyi10,TapGazer,GS,WC,e,h,tap,75.7956,0,0,1605975968449.9700
zhenyi10,TapGazer,GS,WC,space,e,selection,146.5983,10,0,1605975968596.5700
zhenyi10,TapGazer,GS,WC,w,space,tap,144.4590,0,0,1605975968741.0300
zhenyi10,TapGazer,GS,WC,o,w,tap,90.7559,0,0,1605975968831.7900
zhenyi10,TapGazer,GS,WC,r,o,tap,62.8324,0,0,1605975968894.6200
zhenyi10,TapGazer,GS,WC,m,r,tap,177.1704,0,0,1605975969071.7900
zhenyi10,TapGazer,GS,WC,space,m,selection,1099.9216,10,1,1605975970171.7100
zhenyi10,TapGazer,GS,WC,b,,tap,0.0000,0,0,1605975970863.1700
zhenyi10,TapGazer,GS,WC,u,b,tap,101.7338,0,0,1605975970965.3100
zhenyi10,TapGazer,GS,WC,c,u,tap,87.9874,0,0,1605975971053.3000
zhenyi10,TapGazer,GS,WC,k,c,tap,100.2442,0,0,1605975971153.5400
zhenyi10,TapGazer,GS,WC,l,k,tap,156.1405,0,0,1605975971309.6800
zhenyi10,TapGazer,GS,WC,space,l,selection,663.5222,1,0,1605975971973.2100
zhenyi10,TapGazer,GS,WC,u,space,tap,203.3836,0,0,1605975972176.5900
zhenyi10,TapGazer,GS,WC,p,u,tap,54.8661,0,0,1605975972231.4600
zhenyi10,TapGazer,GS,WC,space,p,selection,336.2822,10,0,1605975972567.7400
zhenyi10,TapGazer,GS,WC,f,space,tap,155.1599,0,0,1605975972722.9000
zhenyi10,TapGazer,GS,WC,o,f,tap,91.7547,0,0,1605975972814.6500
zhenyi10,TapGazer,GS,WC,r,o,tap,166.2649,0,0,1605975972980.9200
zhenyi10,TapGazer,GS,WC,space,r,selection,327.7281,10,0,1605975973308.6500
zhenyi10,TapGazer,GS,WC,s,space,tap,336.5319,0,0,1605975973645.1800
zhenyi10,TapGazer,GS,WC,a,s,tap,188.9969,0,0,1605975973834.1700
zhenyi10,TapGazer,GS,WC,f,a,tap,161.5427,0,0,1605975973995.7200
zhenyi10,TapGazer,GS,WC,e,f,tap,113.2696,0,0,1605975974108.9900
zhenyi10,TapGazer,GS,WC,t,e,tap,256.5670,0,0,1605975974365.5500
zhenyi10,TapGazer,GS,WC,y,t,tap,227.8756,0,0,1605975974593.4300
zhenyi10,TapGazer,GS,WC,space,y,selection,365.2819,1,0,1605975974958.7100
